1/6/2016,Chicken Tikka Jalfrezi,2
1/6/2016,Lamb Chilli Masala,2
1/6/2016,Bhuna,1
1/6/2016,Lamb Tikka Masala,1
1/6/2016,Butter Chicken,1
1/6/2016,Dupiaza,1
1/6/2016,Chicken Tikka (Main),2
1/6/2016,Sheek Kebab (Main),2
1/6/2016,Paneer Tikka Masala,1
1/6/2016,Chicken Tikka Karahi,1
1/6/2016,Lamb Biryani,1
31/05/2016,Mango Chutney,1
31/05/2016,Mint Sauce,1
31/05/2016,Onion Chutney,1
31/05/2016,Lime Pickle,1
31/05/2016,Plain Papadum,9
31/05/2016,Naan,5
31/05/2016,Tandoori Roti,1
31/05/2016,Pilau Rice,9
31/05/2016,Garlic Naan,4
31/05/2016,Peshwari Naan,2
31/05/2016,Plain Rice,5
31/05/2016,Keema Naan,1
31/05/2016,Paratha,1
31/05/2016,Onion Bhaji,3
31/05/2016,Mushroom Rice,1
31/05/2016,Curry Sauce,1
31/05/2016,Onion Rice,1
31/05/2016,Mini Bhaji,3
31/05/2016,Chana Chaat,1
31/05/2016,Chicken Chaat,2
31/05/2016,Sheek Kehab,1
31/05/2016,Muttar Paneer,1
31/05/2016,Bombay Aloo,4
31/05/2016,Cauliflower Bhajee,1
31/05/2016,Mushroom Bhajee,1
31/05/2016,Saag Aloo,3
31/05/2016,Vegetable Curry,2
31/05/2016,Saag Dall,1
31/05/2016,Madras,2
31/05/2016,Curry,1
31/05/2016,Lamb Karahi,1
31/05/2016,Chicken Tikka Masala,6
31/05/2016,Chicken Tikka Jalfrezi,1
31/05/2016,Butter Chicken,1
31/05/2016,Kurma,5
31/05/2016,Chicken Karahi,1
31/05/2016,Chilli Paneer,1
31/05/2016,Chicken Biryani,2
31/05/2016,Vegetable Biryani,1
31/05/2016,Dhansak,2
31/05/2016,Chicken Tikka Biryani,2
31/05/2016,King Prawn Royal,1
2/6/2016,Onion Chutney,2
2/6/2016,Mango Chutney,1
2/6/2016,Mint Sauce,1
2/6/2016,Plain Papadum,2
2/6/2016,Naan,5
2/6/2016,Keema Naan,1
2/6/2016,Garlic Naan,1
2/6/2016,Plain Rice,2
2/6/2016,Pilau Rice,3
2/6/2016,Peshwari Naan,1
2/6/2016,Crispy Aloo,1
2/6/2016,Stuffed Paratha,1
2/6/2016,Special Fried Rice,1
2/6/2016,Keema Rice,1
